West Bristol School,school
Martin School,school
Black Rock School,school
Weston High School,school
John Barry School,school
"High School, Inc.",school
Quaker Hill Elementary School,school
Michael F. Wallace Middle School,school
East School,school
Luis Munoz Marin School,school
Lisbon Central School,school
South End Elementary School,school
New School at 200 Strawberry Hill Avenue,school
H. S. Chase School,school
Dolan School,school
Kennelly School,school
Mabelle B. Avery Middle School,school
Mary E. Griswold School,school
Union School,school
Sanchez School,school
Edith E. Mackrille School,school
Monroe Elementary School,school
Oakdale School,school
Veterans Park Elementary School,school
Booth Hill School,school
Ross/Woodward School,school
Northeast Academy Elementary School,school
Emma Hart Willard School,school
West Woods School,school
Hopewell School,school
Killingly Memorial School,school
Westbrook School District,school
Clemente Leadership Academy,school
Northend School,school
Valley View School,school
Pleasant Valley School,school
Rowayton School,school
Jefferson Magnet School,school
Wilcoxson School,school
Waterbury Career Academy,school
Stafford Middle School,school
Carrington School,school
Putnam School District,school
Northeast School,school
Roger Ludlowe Middle School,school
Southington Public Schools Preschool Program at Hatton School,school
Israel Putnam School,school
Carbone School/East Haven Academy,school
Global Experience Magnet School,school
Ledyard School District,school
Sunset Ridge School Elementary Academy for Arts and World Languages,school
Bristol School District,school
Asian Studies Academy at Bellizzi School,school
Martin Kellogg Middle School,school
Booth Hill School,school
Bloomfield High School,school
Science and Technology Magnet School of Southeastern Connecticut,school
Long Hill School,school
Brookfield School District,school
HPHS Nursing and Health Sciences Academy,school
Stamford School District,school
East Hartford School District,school
J. Milton Jeffrey Elementary School,school
Cross School,school
Pleasant Valley School,school
Smith School,school
Mark T. Sheehan High School,school
Dr. Charles E. Murphy School,school
Regan School,school
Granby Memorial High School,school
Webster Micro Society Magnet School,school
Torrington High School,school
Sherman School District,school
Kathleen H. Ryerson Elementary School,school
Bielefield School,school
Southington Public Schools Preschool Program,school
East Hampton School District,school
Darien School District,school
Rockville High School,school
Julian Curtiss School,school
Ellsworth Avenue School,school
Barlow Mountain Elementary School,school
Gildersleeve School,school
East Windsor Middle School,school
Mill Ridge Primary School,school
Silver Lane School,school
Charles Barnum School,school
Journalism and Media Academy Magnet School,school
Bolton School District,school
Fletcher W. Judson School,school
West Stafford School,school
Island Avenue Elementary School,school
Bethany School District,school
Greene-Hills School,school
Salem School,school
Tolland High School,school
Fairfield Ludlowe High School,school
Pathways Academy of Technology and Design,school
Leonard J. Tyl Middle School,school
Canton School District,school
Capital Community College Magnet Academy,school
Wexler/Grant Community School,school
Moosup Elementary School,school
Stafford High School,school
Whisconier Middle School,school
West Broad Street School,school
Moses Y. Beach School,school
Washington Middle School,school
Saxe Middle School,school
Center Road School,school
Easton School District,school
Oxford Center School,school
Long Lots School,school
Cooperative High School,school
Nathan Hale Arts Magnet School,school
Southington School District,school
Fox Run Elementary School,school
Center School,school
Hartford PreKindergarten Magnet School,school
Dorothy C. Goodwin School,school
Head O'Meadow Elementary School,school
Harbor,school
Curiale School,school
Groton School District,school
Westside Middle School Academy,school
Bunker Hill School,school
Duggan School,school
HPHS Law and Government Academy,school
Bakerville Consolidated School,school
Pembroke School,school
Bristol Eastern High School,school
Betsy Ross Arts Magnet School,school
New Hartford Elementary School,school
Frank T. Wheeler School,school
Weston School District,school
Cook Hill School,school
Bristol Central High School,school
Thomas W. Mahan School,school
North End Middle School,school
Thomas Hooker School,school
Fairfield Woods Middle School,school
Lake Street School,school
Quinnipiac Real World Math STEM School,school
Darcey School,school
Pomfret Community School,school
Bolton High School,school
West School,school
Franklin School District,school
Ponus Ridge Middle School,school
Oswegatchie Elementary School,school
Moriarty Magnet School,school
Davis 21st Century Magnet Elementary School,school
Mead School,school
Noah Wallace School,school
Highland Park School,school
New Fairfield High School,school
Dr. Thomas S. O'Connell School,school
New Fairfield School District,school
Claude Chester School,school
Sterling Community School,school
Madison Middle School,school
Straford Academy - Victoria Soto School,school
Cherry Brook Primary School,school
James H. Moran Middle School,school
Jefferson School,school
Frenchtown Elementary School,school
Read School,school
Snow School,school
Sunnyside School,school
Roger Sherman School,school
Mary R. Fisher Elementary School,school
Norfolk School District,school
Stonington HS PreK,school
Hall High School,school
Waterbury Arts Magnet School (Middle),school
Reed School,school
Second Hill Lane School,school
Calf Pen Meadow School,school
Tracey School,school
Plainfield School District,school
Benjamin Jepson Magnet School,school
Ruth Chaffee School,school
Salem Elementary School,school
Eli Terry School,school
West Hill School,school
Scofield Middle School,school
Scotland Elementary School,school
Franklin School,school
Carrigan 5/6 Intermediate School,school
High Horizons Magnet School,school
Central High School,school
East Lyme School District,school
Northeast Middle School,school
Shepherd Glen School,school
Griswold Alternative School,school
Andover School District,school
Bulkeley High School,school
North Mianus School,school
Strong 21st Century Communications Magnet and SCSU Lab School,school
Frank A. Berry School,school
East School,school
Nathan Hale Middle School,school
Harry M. Bailey Middle School,school
Ridge Hill School,school
Griswold Middle School,school
Hamilton Avenue School,school
Great Oak School,school
Bryant School,school
Smalley Academy,school
Latimer Lane School,school
Branford High School,school
Tootin' Hills School,school
EPS Integrated Pre-Kindergarten,school
Maple Street School,school
Stratfield School,school
Worthington Hooker School,school
Information Technology and Software Engineering High School at the Fairchild-Wheeler Magnet Campus,school
Plainfield Central School,school
John F. Kennedy Middle School,school
Global Communications Academy,school
Ox Ridge Elementary School,school
Orange Avenue School,school
Schaghticoke Middle School,school
Mauro-Sheridan Magnet School,school
Bacon Academy,school
Urbin T. Kelley School,school
East Shore Middle School,school
Classical Studies Academy,school
Deep River Elementary School,school
Burns Latino Studies Academy,school
Torrington Middle School,school
Somers Elementary School,school
Scotland Elementary School,school
Betances Early Reading Lab Magnet School,school
Wesley School,school
Middle Gate Elementary School,school
Manchester High School,school
Keeney School,school
Griswold Elementary School,school
Breakthrough Magnet School,school
Hamden Middle School,school
South Street School,school
Chester School District,school
Evarts C. Stevens School,school
Robert J. O'Brien School,school
Nathan Hale School,school
Cos Cob School,school
Norfeldt School,school
Eli Whitney School,school
Washington School,school
Fields Memorial School,school
Orchard Hill School,school
Hanover School,school
Daniel Hand High School,school
Derby High School,school
Brooklyn Elementary School,school
Franklin Elementary School,school
Elizabeth Shelton School,school
New London School District,school
Oxford High School,school
Chaplin Elementary School,school
Bassick High School,school
Pine Grove School,school
Richard D. Hubbard School,school
Julia A. Stark School,school
Western Middle School,school
Hurlbutt Elementary School,school
Uncas Network School,school
Savin Rock Community School,school
Center Elementary School,school
Westover School,school
Annie E. Vinton School,school
Orchard Hills School,school
East Rock Community Magnet School,school
Hillside Intermediate School,school
Reed Intermediate School,school
Dr. John A. Langford School,school
Washington School,school
R. Dudley Seymour School,school
Newfield School,school
Chippens Hill Middle School,school
Montowese Elementary School,school
Seymour High School,school
Western CT Academy of International Studies Elementary Magnet School,school
Woodrow Wilson Middle School,school
Rocky Hill School District,school
Pumpkin Delight School,school
Newtown Middle School,school
Stratford Academy - Johnson House,school
EPS PK STEAM Academy,school
Cromwell School District,school
Shelter Rock School,school
Walsh School,school
North Branford School District,school
Killingly High School,school
East Farms School,school
Broadview Middle School,school
"Celentano BioTech, Health and Medical Magnet School",school
City Hill Middle School,school
Ellen P. Hubbell School,school
Clinton School District,school
Plymouth School District,school
Hindley Elementary School,school
East Haddam Elementary School,school
Timothy Edwards School,school
STEM Magnet at Fisher School,school
Flanders Elementary School,school
Litchfield School District,school
Engineering - Science University Magnet School,school
Dodd Middle School,school
Burr Elementary School,school
Montville School District,school
Lewin G. Joel Jr. School,school
Learning Academy at Bloomfield,school
Bozrah School District,school
Bennie Dover Jackson Middle School,school
Ellington High School,school
Multicultural Magnet School,school
Consolidated School,school
Cloonan School,school
Staffordville School,school
Hillcrest Middle School,school
Windermere School,school
Grove J. Tuttle School,school
New Haven Academy,school
Montville High School,school
Terryville High School,school
East Hampton High School,school
Pond Hill School,school
Westhill High School,school
Waterford High School,school
Perry Hill Elementary School,school
Rippowam Middle School,school
John C. Daniels,school
Oxford School District,school
Teachers' Memorial Middle School,school
Simpson-Waverly School,school
Ivy Drive School,school
Casimir Pulaski School,school
Illing Middle School,school
Keigwin Middle School,school
Classical Magnet School,school
New London High School,school
Tokeneke Elementary School,school
Church Street School,school
Dunbar School,school
Mystic Middle School,school
Tolland Middle School,school
Cromwell High School,school
Canton Intermediate School,school
Center School,school
Holmes School,school
Vernon School District,school
Suffield High School,school
Driggs School,school
Essex School District,school
George Hersey Robertson School,school
Meeting House Hill School,school
Griswold High School,school
Brien McMahon High School,school
Dwight Elementary School,school
Bridgeport School District,school
Race Brook School,school
Park City Magnet School,school
Bungay School,school
Norwich School District,school
Tolland School District,school
Overbrook Elementary School,school
Derynoski Elementary School,school
Wish Museum School,school
East Granby High School,school
Stevens Alternate High School,school
Hill And Plain School,school
"Biotechnology, Research and Zoological Studies HS at the Fairchild-Wheeler Magnet Campus",school
North Canaan School District,school
Thalberg Elementary School,school
Columbia School District,school
Andrew Avenue School,school
South Side School,school
Hill Central Music Academy,school
Pulaski Middle School,school
Clark Lane Middle School,school
Watertown High School,school
East Hartford Middle School,school
West Rock Authors Academy,school
Somers School District,school
Jerome Harrison School,school
Nichols School,school
Totoket Valley Elementary School,school
"Aerospace/Hydrospace, Engineering and Physical Sciences HS at the Fairchild-Wheeler Magnet Campus",school
Flanders School,school
Derby School District,school
Tourtellotte Memorial High School,school
Stonington High School,school
Milford School District,school
Capital Preparatory Magnet School,school
Bugbee School,school
A. Ward Spaulding School,school
Deep River School District,school
Linden Street School,school
Little Raiders University,school
Roton Middle School,school
Chester Elementary School,school
Chapman School,school
Farm Hill School,school
Wilby High School,school
Hawley Elementary School,school
Southwest School,school
Eastford School District,school
New Haven School District,school
The Academy of Information Technology,school
Edgewood School,school
Blackham School,school
Shelton High School,school
Simsbury School District,school
Plainfield Memorial School,school
Canaan School District,school
Ledyard Center School,school
Plantsville Elementary School,school
Trumbull High School,school
Nayaug Elementary School,school
Skinner Road School,school
John B. Stanton Network School,school
Naubuc School,school
Lee H. Kellogg School,school
Bridgeport Military Academy,school
Bishop Woods School,school
Yalesville School,school
Aiken School,school
Joseph O. Goodwin School,school
Geraldine Johnson School,school
Brooklyn Middle School,school
Helen Keller Middle School,school
New London Visual and Performing Arts Magnet School,school
Edgewood School,school
Sherman School,school
Cheshire High School,school
West District School,school
Union Elementary School,school
Avon High School,school
Polk School,school
Jennings School,school
Louis Toffolon School,school
Salisbury School District,school
Davenport Ridge School,school
Southeast Elementary School,school
Glenville School,school
Killingly Central School,school
Waterford School District,school
West Side Middle School,school
Carmen Arace Intermediate School,school
Roaring Brook School,school
Culinary Arts Academy at Weaver High School,school
Hartford School District,school
Elizabeth Green School,school
Dominick H. Ferrara School,school
House of Arts Letters and Science (HALS)  Academy,school
Trumbull School District,school
Carmen Arace Middle School,school
Montessori Magnet at Fisher School,school
Metacomet School,school
North Stonington Elementary School,school
Preston Plains School,school
Redding Elementary School,school
Lillie B. Haynes School,school
Westbrook High School,school
Canton High School,school
Riverside School,school
Rawson School,school
Laurel School,school
John Wallace Middle School,school
Woodrow Wilson School,school
East Hampton Middle School,school
Rocky Hill High School,school
Edna C. Stevens School,school
Watertown School District,school
Wells Road Intermediate School,school
Cranbury Elementary School,school
Bishop School Early Learning Center,school
East Ridge Middle School,school
Seymour Middle School,school
Cornwall Consolidated School,school
Niantic Center School,school
Conard High School,school
Edgar H. Parkman School,school
Litchfield Middle School,school
Somers High School,school
Spring Glen School,school
Bowers School,school
Granby School District,school
Walter C. Polson Upper Middle School,school
Daisy Ingraham School,school
Hazardville Memorial School,school
Branchville Elementary School,school
North Branford Intermediate School,school
HPHS Engineering and Green Technology Academy,school
Maple Hill School,school
Irving A. Robbins Middle School,school
Robert E. Fitch High School,school
Mansfield Middle School School,school
Middletown School District,school
Deans Mill School,school
Daniels Farm School,school
Hamden High School,school
Catherine M. McGee Middle School,school
Buttonball Lane School,school
Voluntown Elementary School,school
Hatton Elementary School,school
Wheeler High School,school
North Stonington School District,school
Cesar Batalla School,school
Edison School,school
Huckleberry Hill Elementary School,school
Jettie S. Tisdale School,school
A. W. Cox School,school
Slade Middle School,school
Portland High School,school
Norwalk School District,school
Toquam Magnet School,school
Ridge Road Elementary School,school
Sandy Hook Elementary School,school
Stillmeadow School,school
Anna H. Rockwell School,school
Fawn Hollow Elementary School,school
Hartford Magnet Trinity College Academy,school
Old Saybrook Senior High School,school
Ashford School,school
Plainville High School,school
Waterbury School District,school
Milner School,school
Berlin High School,school
Vogel-Wetmore School,school
M. D. Fox School,school
Allgrove School,school
Roosevelt School,school
Killingly Intermediate School,school
West Hartford School District,school
Royle Elementary School,school
Orange School District,school
Mary Morrisson School,school
Sayles School,school
East Lyme High School,school
Hampton School District,school
Chapel School,school
Griswold School District,school
Mountain View School,school
John B. Sliney School,school
Jonathan Law High School,school
Abraham Pierson School,school
Smith School,school
Mansfield School District,school
John Paterson School,school
Norwalk Pathways Academy at Briggs,school
International School At Dundee,school
Newington School District,school
S. B. Butler School,school
DPS Early Childhood Center,school
Prudence Crandall School,school
Danbury School District,school
Redding School District,school
Middle School of Plainville,school
Jockey Hollow School,school
Anna Reynolds School,school
Dr. Franklin H. Mayberry School,school
Marvin Elementary School,school
Seth G. Haley School,school
Rogers Park Middle School,school
Frank J. DiLoreto School,school
King/Robinson Magnet School,school
Springdale School,school
Bucks Hill School,school
Kelly Lane Primary School,school
Lyman Memorial High School,school
Newtown High School,school
John S. Martinez School,school
Gilead Hill School,school
Francis T. Maloney High School,school
Holland Hill School,school
F. J. Kingsbury School,school
Coventry High School,school
Gallup Hill School,school
Lincoln School,school
Bolton Center School,school
Ralph M. T. Johnson School,school
Madison School District,school
Pawcatuck Middle School,school
Benjamin Franklin School,school
Green Acres Elementary School,school
Winthrop STEM Elementary Magnet School,school
High School In The Community,school
David Wooster Middle School,school
Coventry Grammar School,school
North Haven School District,school
Bethany Community School,school
Capt. Nathan Hale School,school
Thompson Middle School,school
Samuel Huntington School,school
SAND School,school
"M. L. King, Jr. School",school
Philip R. Smith School,school
Bradley School,school
Kent School District,school
Kathleen E. Goodwin School,school
Robertson School,school
Hayestown Avenue School,school
East Granby Middle School,school
Peck Place School,school
Nathan Hale School,school
Cross Street Intermediate School,school
Calvin Leete School,school
Batchelder School,school
North Haven Middle School,school
Stepney Elementary School,school
Washington School,school
Parkway School,school
New Canaan School District,school
Nathan Hale-Ray Middle School,school
Hart School,school
Canton Middle School,school
Sedgwick Middle School,school
Wendell L. Cross School,school
Park Avenue School,school
Columbus School,school
Spencer School,school
New Fairfield Middle School,school
Brooklyn School District,school
Mathewson School,school
Bethel Middle School,school
Montessori Magnet at Moylan School,school
John Read Middle School,school
Fairfield Warde High School,school
Scotts Ridge Middle School,school
Catherine Kolnaski Magnet School,school
Kinsella Magnet School of Performing Arts,school
Hebron Elementary School,school
Francis Walsh Intermediate School,school
Ridgebury Elementary School,school
Putnam Elementary School,school
New Hartford School District,school
Cheshire School District,school
Guilford Lakes School,school
Hop Brook Elementary School,school
Truman School,school
Mary R. Tisko School,school
Squadron Line School,school
Irving School,school
Mohegan School,school
Norwalk Early Childhood Center,school
Manchester School District,school
Colchester School District,school
Torringford School,school
Stratford School District,school
Black Rock School,school
Rotella Interdistrict Magnet School,school
Marlborough School District,school
Bunnell High School,school
Harry B. Flood Middle School,school
Bristow Middle School,school
North Stratfield School,school
Sound School,school
Botelle Elementary School,school
Vernon Center Middle School,school
West Middle School,school
Momauguin School,school
Ann Antolini School,school
Plymouth Alternative High School,school
Cortlandt V.R. Creed Health and Sport Sciences High School,school
Bloomfield School District,school
Braeburn School,school
Greenwich School District,school
Avon School District,school
Meriden School District,school
King Street Primary School,school
Seymour School District,school
Hopeville School,school
John F. Kennedy Middle School,school
William J. Johnston Middle School,school
Forest School,school
K. T. Murphy School,school
Anna E. Norris School,school
Riverfield School,school
Gilmartin School,school
Union School District,school
Eastern Middle School,school
King Philip Middle School,school
Silvermine Elementary School,school
Westbrook Middle School,school
Great Plain School,school
Wolcott School,school
Fairfield School District,school
Stafford Elementary School,school
Great Path Academy at MCC,school
Kelly Middle School,school
Stafford School,school
Holmes Elementary School,school
Hartland School District,school
University High School of Science and Engineering,school
Elisabeth M. Bennet Academy,school
Monroe School District,school
Vance School,school
Environmental Sciences Magnet at Hooker School,school
Hartland School,school
East Windsor School District,school
Beardsley School,school
Elmer Thienes-Mary Hall Elementary School,school
Stonington School District,school
Lisbon School District,school
John Trumbull Primary School,school
Conte/West Hills Magnet School,school
Live Oaks School,school
Berlin School District,school
Barnard Environmental Magnet School,school
Dr. Robert H. Brown Middle School,school
Naugatuck High School,school
New Britain High School,school
Brookside Elementary School,school
Stamford High School,school
Plainville School District,school
Naramake Elementary School,school
Preston School District,school
Jack Jackter Intermediate School,school
Joseph A. Depaolo Middle School,school
Eastbury School,school
Mohegan School,school
Waddell School,school
Sherman School,school
Enfield High School,school
Jane Ryan School,school
Madison School,school
Gales Ferry School,school
Putnam Middle School,school
Canterbury Elementary School,school
Essex Elementary School,school
Glastonbury High School,school
Ledyard Middle School,school
Metropolitan Business Academy,school
Shepard Hill Elementary School,school
Southington High School,school
Chamberlain  Elementary School,school
East Haven High School,school
Harry S. Fisher Elementary School,school
West Haven School District,school
Alternative Center For Excellence,school
Breakthrough II Magnet School,school
Columbus Magnet School,school
McAlister Intermediate School,school
Renzulli Gifted and Talented Academy,school
James Hillhouse High School,school
Coventry School District,school
Beecher School,school
Stratford High School,school
Morris Street School,school
Osborn Hill School,school
Expeditionary Learning Academy at Moylan School,school
Clintonville Elementary School,school
Strong Elementary School,school
Turkey Hill School,school
Deer Run School,school
East Granby School District,school
Ansonia School District,school
Brookfield High School,school
Alma E. Pagels School,school
Honeyspot School,school
Augusta Lewis Troup School,school
Barkhamsted Elementary School,school
Lebanon Middle School,school
Prendergast School,school
Lebanon School District,school
Greenwich High School,school
Newtown School District,school
Brennan Rogers School,school
Juliet W. Long School,school
Harding High School,school
Wequonnoc Magnet School,school
Waltersville School,school
MacDonough School,school
Chatfield-LoPresti School,school
Hartford Detention Center,school
Amity Regional High School,school
Two Rivers Magnet High School,school
Jumoke Academy,school
Sage Park Middle School,school
Regional School District 11,school
The Gilbert School,school
Manson Youth Institution,school
The Bridge Academy,school
Windham School District,school
Oliver Wolcott Technical High School,school
Quinebaug Middle College,school
Valley Regional High School,school
Woodstock Academy,school
Lyme-Old Lyme Middle School,school
E. C. Goodwin Technical High School,school
Woodland Regional High School,school
Cider Mill School,school
North Street School,school
Housatonic Valley Regional High School,school
Ella T. Grasso Southeastern Technical High School,school
EdAdvance,school
Academy of Aerospace and Engineering Elementary,school
Alfred W. Hanmer School,school
Arts at the Capitol Theater Magnet School (ACT),school
H. H. Ellis Technical High School,school
Coginchaug Regional High School,school
Ana Grace Academy of the Arts Elementary School,school
Winchester School District,school
Odyssey Community School,school
Capital Preparatory Harbor School Inc.,school
Six-Six Magnet School,school
Brass City Charter School,school
Woodbury Middle School,school
New Haven Correctional Center,school
Thomas Edison Magnet Middle School,school
Emmett O'Brien Technical High School,school
Regional School District 16,school
Emerson-Williams School,school
Beecher Road School,school
The Burnham School,school
Side By Side Charter School,school
Path Academy,school
Regional School District 12,school
Marine Science Magnet High School of Southeastern Connecticut,school
John F. Kennedy School,school
Warren Elementary School,school
Common Ground High School,school
York Correctional Institution,school
Hartford Correctional Center,school
Center School,school
Killingworth Elementary School,school
Bethlehem Elementary School,school
Northern Correctional Institution,school
Laurel Ledge School,school
Booker T. Washington Academy,school
The Friendship School,school
BRAVE,school
John Lyman School,school
Integrated Day Charter School,school
Wolcott School District,school
Oliver Ellsworth School,school
Walter G. Cady School,school
Lyme Consolidated School,school
Clover Street School,school
Frisbie School,school
Regional School District 14,school
Wilton High School,school
Harwinton Consolidated School,school
Staples High School,school
Wamogo Regional High School,school
Natchaug School,school
Goshen Center School,school
Woodstock Elementary School,school
Haddam-Killingworth Middle School,school
Children's Place School,school
Learn,school
Windsor Locks School District,school
Willington School District,school
Bridgeport Detention Center,school
Center School,school
Samuel B. Webb Elementary School,school
Frank Ward Strong School,school
Wilton School District,school
Mile Creek School,school
Windsor Locks Middle School,school
TRAC Program,school
Wethersfield School District,school
Tyrrell Middle School,school
Windsor Locks High School,school
Office of Early Childhood (OEC),school
Regional School District 15,school
Henry Abbott Technical High School,school
Public Safety Academy,school
Woodstock School District,school
Amistad Academy,school
Achievement First Hartford Academy Inc.,school
Department of Mental Health and Addiction Services,school
Regional School District 10,school
Bullard-Havens Technical High School,school
Pearson Middle School,school
Saugatuck Elementary School,school
Regional School District 07,school
Area Cooperative Educational Services,school
Windsor School District,school
Montessori Magnet School,school
E. O. Smith High School,school
Achievement First Bridgeport Academy,school
Academy of Science and Innovation,school
Northwestern Regional High School,school
Cooperative Educational Services,school
Regional School District 13,school
Corrigan/Radgowski Correctional Institution,school
Stamford Charter School for Excellence,school
Burr District Elementary School,school
Park City Prep Charter School,school
Regional School District 19,school
Highcrest School,school
Long Meadow Elementary School,school
Glastonbury/East Hartford Magnet School,school
Woodstock Middle School,school
Three Rivers Middle College Magnet School,school
Reggio Magnet School of the Arts,school
Suffield Middle School,school
Museum Academy,school
Garner Correctional Institution,school
Har-Bur Middle School,school
Pomperaug School,school
Lyme-Old Lyme High School,school
Eli Whitney Technical High School,school
Batcheller Early Education Center,school
Stamford Academy,school
A. I. Prince Technical High School,school
Regional School District 05,school
Prospect Elementary School,school
Windham Center School,school
Connecticut Valley Hospital,school
Litchfield Boys IR Program,school
Pomperaug Regional High School,school
Elm City College Preparatory School,school
Department of Rehabilitation Services,school
Regional School District 06,school
James Morris School,school
Long River Middle School,school
Middlebury Elementary School,school
Unified School District #1,school
Explorations,school
Trailblazers Academy,school
MacDougall/Walker Correctional Institution,school
Windsor High School,school
Judicial Centers,school
Wethersfield High School,school
Riverview School,school
Riverside Magnet School at Goodwin College,school
Gainfield Elementary School,school
Amity Middle School: Bethany,school
Middlebrook School,school
Elm City Montessori School,school
Alcott School,school
Two Rivers Magnet Middle School,school
W. B. Sweeney School,school
Vinal Technical High School,school
Regional School District 17,school
Wintergreen Interdistrict  Magnet School,school
Frederick Brewster School,school
Norwich Free Academy,school
Norwich Technical High School,school
Girls IR Program,school
Shepaug Valley School,school
Amity Middle School: Orange,school
Platt Technical High School,school
Regional School District 09,school
Bedford Middle School,school
John Winthrop Middle School,school
Howell Cheney Technical High School,school
International Magnet School for Global Citizenship,school
Charles Wright School,school
Dual Language & Arts Magnet Middle School,school
Memorial Middle School,school
Willard/Cybulski Correctional Institution,school
H. C. Wilcox Technical High School,school
Regional School District 04,school
Charles H. Barrows STEM Academy,school
Greater Hartford Academy of  the Arts High School - Full Time,school
Windham High School,school
Poquonock Elementary School,school
Wolcott High School,school
New Beginnings Inc Family Academy,school
