label,transaction
gas/transportation,Icon Parking - Claridge 87 Parking
gas/transportation,Parkright - Tesla
gas/transportation,Quikpark - Tesla
gas/transportation,RapidPark - Tesla
gas/transportation,SunPower - Tesla
gas/transportation,Citgo
gas/transportation,QuickChek - Tesla
gas/transportation,Rapidpark - Tesla
gas/transportation,More Than Parking - Tesla
gas/transportation,Loews Regency - Tesla
gas/transportation,Icon Parking - Tesla
gas/transportation,Icon Parking - Tesla
gas/transportation,Icon Parking - Tesla
gas/transportation,Enterprise Parking - Tesla
gas/transportation,COHEN BROTHERS
gas/transportation,BEAM CHARGING
gas/transportation,GMC Parking - Tesla
gas/transportation,Gurney's Montauk Resort and Spa - Tesla
gas/transportation,Hampton Inn & Suites - Tesla
gas/transportation,La Tourelle Hotel and Spa - Tesla
gas/transportation,Red Coach Inn - Tesla
gas/transportation,Smoky Rock BBQ - Tesla
gas/transportation,Standard Parking - Tesla
gas/transportation,Tarrytown House Estate on the Hudson - Tesla
gas/transportation,iPark - Tesla
gas/transportation,iPark - Tesla
gas/transportation,iPark - Tesla
gas/transportation,Bob Johnson Chevrolet 
gas/transportation,Sheraton Tarrytown - Tesla
gas/transportation,Jim Barnard Chevrolet
gas/transportation,NATIONAL GRID
gas/transportation,ABM Parking - Tesla
gas/transportation,ABM Parking - Tesla
gas/transportation,Apple Parking - Tesla
gas/transportation,Champion Parking - Tesla
gas/transportation,Enterprise - Tesla
gas/transportation,Little Man Parking - Tesla
gas/transportation,Manhattan Parking - Tesla
gas/transportation,ParkIt - Tesla
gas/transportation,Quik Park - Tesla
gas/transportation,Quik Park - Tesla
gas/transportation,Rapidpark - Tesla
gas/transportation,River Spring Lodge - Tesla
gas/transportation,Standard Parking - Tesla
gas/transportation,The Standard - Tesla
gas/transportation,iPark - Tesla
gas/transportation,imPark - Tesla
gas/transportation,Winwood Inn - Tesla
gas/transportation,Fairport Electric
gas/transportation,Davidson Ford
gas/transportation,NYC FLEET
gas/transportation,HABBERSTAD BMW
gas/transportation,VALET
gas/transportation,THE VUE
gas/transportation,GOWANUS
gas/transportation,CASE CENTER LOT
gas/transportation,BEAM CHARGING
gas/transportation,NATIONAL GRID
gas/transportation,PARKING GARAGE
gas/transportation,NATIONAL GRID
gas/transportation,Romeo Chevrolet
gas/transportation,Koeppel Nissan
gas/transportation,Maguire Nissan
gas/transportation,BMW OYSTER BAY
gas/transportation,STATION 1
gas/transportation,PARK ST. GARAGE
gas/transportation,Prettejohn Public Parking Lot
gas/transportation,Express Mart Sunoco - Homer
gas/transportation,Valero 
gas/transportation,PARKING GARAGE
gas/transportation,MARC: Penn Line; Light Rail; Amtrak
gas/transportation,MARC: Camden Line; Light Rail
gas/transportation,Metro
gas/transportation,Light Rail
gas/transportation,MARC: Penn Line
gas/transportation,MARC: Penn Line
gas/transportation,MARC: Camden Line; WMATA Metro
gas/transportation,MARC: Camden Line; WMATA Metro
gas/transportation,MARC: Camden Line
gas/transportation,MARC: Brunswick Line; Amtrak
gas/transportation,MARC: Brunswick Line; WMATA Metro
gas/transportation,MARC: Brunswick Line; Amtrak
gas/transportation,WMATA Metro
gas/transportation,BART
gas/transportation,Bay Area Rapid Transit
gas/transportation,MUNI
gas/transportation,San Francisco Municipal Transportation Agency
gas/transportation,New York Subway
gas/transportation,MTA
gas/transportation,Lyft
gas/transportation,Uber
gas/transportation,Paris Metro
gas/transportation,Greyhound Lines
gas/transportation,Megabus
gas/transportation,Caltrain
gas/transportation,Amtrak
gas/transportation,California Zephyr Train
utlities/bills,Ajo Improvement Co
utlities/bills,Alabama Power Co
utlities/bills,Alaska Electric Light&Power Co
utlities/bills,Alaska Power and Telephone Co
utlities/bills,Alpena Power Co
utlities/bills,Amana Society Service Co
utlities/bills,Appalachian Power Co
utlities/bills,Arizona Public Service Co
utlities/bills,Entergy Arkansas Inc
utlities/bills,Atlantic City Electric Co
utlities/bills,Baltimore Gas & Electric Co
utlities/bills,Emera Maine
utlities/bills,Black Diamond Power Co
utlities/bills,Block Island Power Co
utlities/bills,Duke Energy Progress - (NC)
utlities/bills,Central Hudson Gas & Elec Corp
utlities/bills,Cleco Power LLC
utlities/bills,Central Maine Power Co
utlities/bills,Cheyenne Light Fuel & Power d/b/a Black Hills Energy
utlities/bills,Duke Energy Ohio Inc
utlities/bills,Citizens Electric Co - (PA)
utlities/bills,Cleveland Electric Illum Co
utlities/bills,Commonwealth Edison Co
utlities/bills,Connecticut Light & Power Co
utlities/bills,Consolidated Edison Co-NY Inc
utlities/bills,Consolidated Water Power Co
utlities/bills,Consumers Energy Co
utlities/bills,Dahlberg Light & Power Co
utlities/bills,Dayton Power & Light Co
utlities/bills,Delmarva Power
utlities/bills,DTE Electric Company
utlities/bills,"Duke Energy Carolinas, LLC"
utlities/bills,Duquesne Light Co
utlities/bills,El Paso Electric Co
utlities/bills,Electric Energy Inc
utlities/bills,Empire District Electric Co
utlities/bills,Fishers Island Utility Co Inc
utlities/bills,Fitchburg Gas & Elec Light Co
utlities/bills,Florida Power & Light Co
utlities/bills,"Duke Energy Florida, Inc"
utlities/bills,Florida Public Utilities Co
utlities/bills,Georgia Power Co
utlities/bills,Green Mountain Power Corp
utlities/bills,Gulf Power Co
utlities/bills,Hawaii Electric Light Co Inc
utlities/bills,Idaho Power Co
utlities/bills,Indianapolis Power & Light Co
utlities/bills,Indiana Michigan Power Co
utlities/bills,Interstate Power and Light Co
utlities/bills,Jersey Central Power & Lt Co
utlities/bills,Kansas City Power & Light Co
utlities/bills,Kansas Gas & Electric Co
utlities/bills,Kentucky Utilities Co
utlities/bills,Kingsport Power Co
utlities/bills,Lockhart Power Co
utlities/bills,Entergy Louisiana LLC
utlities/bills,Louisville Gas & Electric Co
utlities/bills,Madison Gas & Electric Co
utlities/bills,Massachusetts Electric Co
utlities/bills,Maui Electric Co Ltd
utlities/bills,Montana-Dakota Utilities Co
utlities/bills,MidAmerican Energy Co
utlities/bills,Metropolitan Edison Co
utlities/bills,"ALLETE, Inc."
utlities/bills,Entergy Mississippi Inc
utlities/bills,Mississippi Power Co
utlities/bills,KCP&L Greater Missouri Operations Co.
utlities/bills,Monongahela Power Co
utlities/bills,NorthWestern Energy LLC - (MT)
utlities/bills,Morenci Water and Electric
utlities/bills,Mt Carmel Public Utility Co
utlities/bills,Nantucket Electric Co
utlities/bills,The Narragansett Electric Co
utlities/bills,Nevada Power Co
utlities/bills,Entergy New Orleans Inc
utlities/bills,New York State Elec & Gas Corp
utlities/bills,Niagara Mohawk Power Corp.
utlities/bills,North Central Power Co Inc
utlities/bills,Northern Indiana Pub Serv Co
utlities/bills,Northern States Power Co
utlities/bills,Northern States Power Co - Minnesota
utlities/bills,Northwestern Wisconsin Elec Co
utlities/bills,Ohio Edison Co
utlities/bills,Ohio Power Co
utlities/bills,Oklahoma Gas & Electric Co
utlities/bills,Orange & Rockland Utils Inc
utlities/bills,Otter Tail Power Co
utlities/bills,Pacific Gas & Electric Co
utlities/bills,PacifiCorp
utlities/bills,Pennsylvania Electric Co
utlities/bills,PPL Electric Utilities Corp
utlities/bills,Pennsylvania Power Co
utlities/bills,PECO Energy Co
utlities/bills,Pike County Light & Power Co
utlities/bills,Pioneer Power and Light Co
utlities/bills,Portland General Electric Co
utlities/bills,The Potomac Edison Company
utlities/bills,Potomac Electric Power Co
utlities/bills,Public Service Co of Colorado
utlities/bills,"Duke Energy Indiana, LLC"
utlities/bills,Public Service Co of NH
utlities/bills,Public Service Co of NM
utlities/bills,Public Service Co of Oklahoma
utlities/bills,Public Service Elec & Gas Co
utlities/bills,Puget Sound Energy Inc
utlities/bills,Rochester Gas & Electric Corp
utlities/bills,Rockland Electric Co
utlities/bills,San Diego Gas & Electric Co
utlities/bills,Sierra Pacific Power Co
utlities/bills,South Carolina Electric&Gas Company
utlities/bills,Southern California Edison Co
utlities/bills,Bear Valley Electric Service
utlities/bills,Southern Indiana Gas & Elec Co
utlities/bills,Southwestern Electric Power Co
utlities/bills,Southwestern Public Service Co
utlities/bills,Superior Water and Light Co
utlities/bills,Tampa Electric Co
utlities/bills,The Toledo Edison Co
utlities/bills,"UGI Utilities, Inc"
utlities/bills,Union Electric Co - (MO)
utlities/bills,Duke Energy Kentucky
utlities/bills,United Illuminating Co
utlities/bills,"Black Hills Power, Inc. d/b/a"
utlities/bills,Hawaiian Electric Co Inc
utlities/bills,Upper Peninsula Power Company
utlities/bills,"UNS Electric, Inc"
utlities/bills,Virginia Electric & Power Co
utlities/bills,Avista Corp
utlities/bills,Wellsborough Electric Co
utlities/bills,West Penn Power Company
utlities/bills,Western Massachusetts Electric Company
utlities/bills,Wheeling Power Co
utlities/bills,Wisconsin Electric Power Co
utlities/bills,Wisconsin Power & Light Co
utlities/bills,Wisconsin Public Service Corp
utlities/bills,Kentucky Power Co
utlities/bills,Westar Energy Inc
utlities/bills,Tucson Electric Power Co
utlities/bills,Unitil Energy Systems
utlities/bills,Liberty Utilities (Granite State Electric) Corp
utlities/bills,Westfield Electric Company
utlities/bills,NSTAR Electric Company
utlities/bills,Entergy Gulf States - LA LLC
utlities/bills,Entergy Texas Inc.
utlities/bills,Black Hills/Colorado Elec.Util
utlities/bills,Ameren Illinois Company
utlities/bills,Liberty Utilities
utlities/bills,City of Aberdeen - (MS)
utlities/bills,City of Abbeville - (LA)
utlities/bills,A & N Electric Coop
utlities/bills,Adams Electric Coop
utlities/bills,Adams-Columbia Electric Coop
utlities/bills,"Adams Rural Electric Coop, Inc"
utlities/bills,Village of Arcade - (NY)
utlities/bills,City of Adel- (GA)
utlities/bills,Adrian Public Utilities Comm
utlities/bills,Agralite Electric Coop
utlities/bills,Aiken Electric Coop Inc
utlities/bills,City of Alachua - (FL)
utlities/bills,City of Alameda
utlities/bills,"Alaska Village Elec Coop, Inc"
utlities/bills,Albany Water Gas & Light Comm
utlities/bills,City of Albemarle - (NC)
utlities/bills,Albemarle Electric Member Corp
utlities/bills,Albertville Municipal Utilities Board
utlities/bills,Alcorn County Elec Power Assn
utlities/bills,City of Alexander City
utlities/bills,City of Alexandria - (MN)
utlities/bills,"Alfalfa Electric Coop, Inc"
utlities/bills,City of Alexandria - (LA)
utlities/bills,Alger-Delta Coop Electric Assn
utlities/bills,Algoma Utility Comm
utlities/bills,City of Acworth - (GA)
utlities/bills,City of Algona - (IA)
utlities/bills,"Allamakee-Clayton El Coop, Inc"
utlities/bills,City of Alliance- (NE)
utlities/bills,Altamaha Electric Member Corp
utlities/bills,City of Altus - (OK)
utlities/bills,City of Ames - (IA)
utlities/bills,City of Amherst- (OH)
utlities/bills,Amicalola Electric Member Corp
utlities/bills,City of Amory
utlities/bills,City of Alcoa Utilities
utlities/bills,City of Anaheim - (CA)
utlities/bills,Anchorage Municipal Light and Power
utlities/bills,City of Andalusia
utlities/bills,City of Anderson - (IN)
utlities/bills,Connexus Energy
utlities/bills,City of Bardstown - (KY)
utlities/bills,City of Anoka
utlities/bills,Anza Electric Coop Inc
utlities/bills,Town of Apex- (NC)
utlities/bills,Appalachian Electric Coop
utlities/bills,Arab Electric Coop Inc
utlities/bills,Arkansas Valley Elec Coop Corp
utlities/bills,City of Arlington - (MN)
utlities/bills,"Arrowhead Electric Coop, Inc"
utlities/bills,City of Ashland - (OR)
utlities/bills,City of Aspen- (CO)
utlities/bills,Atchison-Holt Electric Coop
utlities/bills,City of Athens - (AL)
utlities/bills,Athens Utility Board
utlities/bills,Atlantic Municipal Utilities
utlities/bills,Auburn Board of Public Works
utlities/bills,City of Auburn - (IN)
utlities/bills,City of Augusta - (KS)
utlities/bills,City of Austin - (MN)
utlities/bills,Austin Energy
utlities/bills,City of Ava - (MO)
utlities/bills,Town of Ayden - (NC)
utlities/bills,City of Azusa
utlities/bills,BARC Electric Coop Inc
utlities/bills,Bagley Public Utilities Comm
utlities/bills,City of Baldwin City- (KS)
utlities/bills,Baldwin County El Member Corp
utlities/bills,Bailey County Elec Coop Assn
utlities/bills,"Bandera Electric Coop, Inc"
utlities/bills,City of Bandon - (OR)
utlities/bills,Village of Bangor - (WI)
utlities/bills,City of Banning - (CA)
utlities/bills,Village of Baraga - (MI)
utlities/bills,Barbourville Utility Comm
utlities/bills,City of Barnesville - (MN)
utlities/bills,Barron Electric Coop
utlities/bills,"Bartlett Electric Coop, Inc"
utlities/bills,"Barrow Utils & Elec Coop, Inc"
utlities/bills,Barry Electric Coop
utlities/bills,Bartholomew County Rural E M C
utlities/bills,City of Bartow - (FL)
utlities/bills,"Barton County Elec Coop, Inc"
utlities/bills,City of Batavia - (IL)
utlities/bills,City of Bay City - (MI)
utlities/bills,"Bayfield Electric Coop, Inc"
utlities/bills,"Beartooth Electric Coop, Inc"
utlities/bills,City of Beatrice - (NE)
utlities/bills,Town of Bedford - (VA)
utlities/bills,"Beauregard Electric Coop, Inc"
utlities/bills,Town of Belmont - (MA)
utlities/bills,City of Beloit - (KS)
utlities/bills,"Beltrami Electric Coop, Inc"
utlities/bills,City of Bennettsville - (SC)
utlities/bills,City of Benson - (MN)
utlities/bills,Benton County
utlities/bills,PUD No 1 of Benton County
utlities/bills,City of Benton - (AR)
utlities/bills,City of Benton - (KY)
utlities/bills,City of Bentonville - (AR)
utlities/bills,"Big Country Electric Coop, Inc"
utlities/bills,City of Beresford
utlities/bills,Berkeley Electric Coop Inc
utlities/bills,Benton Rural Electric Assn
utlities/bills,City of Bessemer Utilities
utlities/bills,Big Horn Rural Electric Co
utlities/bills,"Big Horn County Elec Coop, Inc"
utlities/bills,Big Sandy Rural Elec Coop Corp
utlities/bills,"Big Bend Electric Coop, Inc"
utlities/bills,Blachly-Lane County Coop El Assn
utlities/bills,"Black River Electric Coop, Inc - (SC)"
utlities/bills,"Black Hills Electric Coop, Inc"
utlities/bills,Black River Electric Coop - (MO)
utlities/bills,City of Black River Falls
utlities/bills,Black Warrior Elec Member Corp
utlities/bills,City of Blaine - (WA)
utlities/bills,City of Bloomfield - (IA)
utlities/bills,Blue Earth Light & Water
utlities/bills,BENCO Electric Cooperative
utlities/bills,Blue Grass Energy Coop Corp
utlities/bills,Blue Ridge Elec Member Corp - (NC)
utlities/bills,Blue Ridge Electric Coop Inc - (SC)
utlities/bills,Blue Ridge Mountain EMC - (GA)
utlities/bills,"Bluebonnet Electric Coop, Inc"
utlities/bills,City of Bluffton - (IN)
utlities/bills,"Bon Homme Yankton El Assn, Inc"
utlities/bills,City of Boerne
utlities/bills,Bolivar Energy Authority
utlities/bills,City of Boscobel - (WI)
utlities/bills,Boone Electric Coop
utlities/bills,City of Boulder City - (NV)
utlities/bills,City of Bountiful
utlities/bills,"Bowie-Cass Electric Coop, Inc"
utlities/bills,City of Bowling Green - (OH)
utlities/bills,City of Bowling Green - (KY)
utlities/bills,Bozrah Light & Power Company
utlities/bills,Brainerd Public Utilities
utlities/bills,Town of Braintree - (MA)
utlities/bills,City of Breckenridge- (MN)
utlities/bills,Bremen Electric Light & Power Co
utlities/bills,City of Brenham - (TX)
utlities/bills,City of Brewster - (MN)
utlities/bills,"Broad River Electric Coop, Inc"
utlities/bills,"Bridger Valley Elec Assn, Inc"
utlities/bills,Brigham City Corporation
utlities/bills,City of Bristol - (TN)
utlities/bills,Bristol Virginia Utilities
utlities/bills,Brodhead Water & Lighting Comm
utlities/bills,City of Broken Bow - (NE)
utlities/bills,City of Brookings - (SD)
utlities/bills,Brown County Rural Elec Assn
utlities/bills,Brown-Atchison E C A Inc
utlities/bills,Burke-Divide Electric Coop Inc
utlities/bills,Brownsville Public Utilities Board
utlities/bills,City of Brownsville
utlities/bills,City of Bryan - (OH)
utlities/bills,City of Bryan - (TX)
utlities/bills,City of Buffalo - (MN)
utlities/bills,City of Buford
utlities/bills,"Buckeye Rural Elec Coop, Inc"
utlities/bills,City of Burbank Water and Power
utlities/bills,City of Burley - (ID)
utlities/bills,City of Burlington Electric - (VT)
utlities/bills,City of Burlington - (KS)
utlities/bills,Burt County Public Power Dist
utlities/bills,"Butler Rural El Coop Assn, Inc - (KS)"
utlities/bills,Butler Public Power District - (NE)
utlities/bills,Borough of Butler - (NJ)
utlities/bills,Butler Rural Electric Coop Inc - (OH)
utlities/bills,Butler County Rural Elec Coop - (IA)
utlities/bills,"Butte Electric Coop, Inc"
utlities/bills,C & L Electric Coop Corp
utlities/bills,City of Cairo - (GA)
utlities/bills,CMS Electric Coop Inc
utlities/bills,City of Calhoun - (GA)
utlities/bills,Central Electric Power Assn - (MS)
utlities/bills,City of Cambridge - (NE)
utlities/bills,City of Camden
utlities/bills,City of Cameron
utlities/bills,Canoochee Electric Member Corp
utlities/bills,City of Camilla
utlities/bills,"Canadian Valley Elec Coop, Inc"
utlities/bills,Canby Utility Board
utlities/bills,"Caney Fork Electric Coop, Inc"
utlities/bills,"Caney Valley El Coop Assn, Inc"
utlities/bills,Canton Municipal Utilities
utlities/bills,Cape Hatteras Elec Member Corp
utlities/bills,"Capital Electric Coop, Inc"
utlities/bills,"Cam Wal Electric Coop, Inc"
utlities/bills,"Carbon Power & Light, Inc"
utlities/bills,Carroll County - (TN)
utlities/bills,"Carroll Electric Coop, Inc - (OH)"
utlities/bills,Carroll Electric Member Corp - (GA)
utlities/bills,Carroll Electric Coop Corp - (AR)
utlities/bills,Carteret-Craven El Member Corp
utlities/bills,City of Cartersville - (GA)
utlities/bills,City of Carthage - (MO)
utlities/bills,Cedar Falls Utilities
utlities/bills,Cedar-Knox Public Power Dist
utlities/bills,Cedarburg Light & Water Comm
utlities/bills,City of Celina - (OH)
utlities/bills,Central Alabama Electric Coop
utlities/bills,"Central Rural Electric Cooperative, Inc"
utlities/bills,City of Central City
utlities/bills,"Central Electric Coop, Inc - (SD)"
utlities/bills,Central Electric Coop Inc - (OR)
utlities/bills,"Central Florida Elec Coop, Inc"
utlities/bills,Central Georgia El Member Corp
utlities/bills,Central Electric Membership Corp. - (NC)
utlities/bills,Central Lincoln People's Ut Dt
utlities/bills,Central Missouri Elec Coop Inc
utlities/bills,"Central New Mexico El Coop, Inc"
utlities/bills,"Central Texas Elec Coop, Inc"
utlities/bills,"Central Valley Elec Coop, Inc"
utlities/bills,Central Virginia Electric Coop
utlities/bills,Central Wisconsin Elec Coop
utlities/bills,City of Centralia - (WA)
utlities/bills,"Chariton Valley Elec Coop, Inc"
utlities/bills,"Charles Mix Electric Assn, Inc"
utlities/bills,Borough of Chambersburg
utlities/bills,City of Chanute
utlities/bills,"Caddo Electric Coop, Inc"
utlities/bills,City of Chaska - (MN)
utlities/bills,City of Chattanooga - (TN)
utlities/bills,PUD No 1 of Chelan County
utlities/bills,City of Cheney - (WA)
utlities/bills,Cherokee Electric Coop
utlities/bills,"Cherry-Todd Electric Coop, Inc"
utlities/bills,Cherryland Electric Coop Inc
utlities/bills,Cherokee County Elec Coop Assn
utlities/bills,City of Chickamauga
utlities/bills,City of Chicopee - (MA)
utlities/bills,Cimarron Electric Coop
utlities/bills,Chillicothe Municipal Utils
utlities/bills,Chimney Rock Public Power Dist
utlities/bills,Chippewa Valley Electric Coop
utlities/bills,"Choctawhatche Elec Coop, Inc"
utlities/bills,"Choptank Electric Coop, Inc"
utlities/bills,Chugach Electric Assn Inc
utlities/bills,Choctaw Electric Coop Inc
utlities/bills,Citizens Electric Corporation - (MO)
utlities/bills,City of Nixa - (MO)
utlities/bills,"Claiborne Electric Coop, Inc"
utlities/bills,PUD No 1 of Clallam County
utlities/bills,City of Claremore
utlities/bills,PUD No 1 of Clark County - (WA)
utlities/bills,Clark Energy Coop Inc - (KY)
utlities/bills,Clark Electric Coop - (WI)
utlities/bills,Clarksdale Public Utilities
utlities/bills,City of Clarksville - (TN)
utlities/bills,Clarksville Light & Water Co
utlities/bills,City of Clay Center - (KS)
utlities/bills,Clay County Electric Coop Corp
utlities/bills,Clay-Union Electric Corp
utlities/bills,Clarke Electric Coop Inc - (IA)
utlities/bills,Town of Clayton
utlities/bills,Clearwater Power Company
utlities/bills,"Clay Electric Cooperative, Inc"
utlities/bills,City of Cleveland - (TN)
utlities/bills,City of Cleveland - (OH)
utlities/bills,Clearwater-Polk Elec Coop Inc
utlities/bills,City of Clewiston
utlities/bills,Clinton Combined Utility Sys
utlities/bills,"Clinton County Elec Coop, Inc"
utlities/bills,City of Clinton - (TN)
utlities/bills,City of Clintonville - (WI)
utlities/bills,Clyde Light & Power
utlities/bills,Cloverland Electric Co-op
utlities/bills,Coahoma Electric Power Assn
utlities/bills,Coast Electric Power Assn
utlities/bills,Coastal Electric Member Corp
utlities/bills,"Coastal Electric Coop, Inc"
utlities/bills,"Codington-Clark Elec Coop, Inc"
utlities/bills,Columbia Power System
utlities/bills,City of Cody
utlities/bills,City of Coffeyville - (KS)
utlities/bills,City of Colby - (KS)
utlities/bills,Coldwater Board of Public Util
utlities/bills,Cobb Electric Membership Corp
utlities/bills,Coles-Moultrie Electric Coop
utlities/bills,"Coleman County Elec Coop, Inc"
utlities/bills,City of College Park - (GA)
utlities/bills,City of College Station - (TX)
utlities/bills,City of Colorado Springs - (CO)
utlities/bills,City of Colton - (CA)
utlities/bills,"Columbia Basin Elec Cooperative, Inc"
utlities/bills,City of Columbia City - (IN)
utlities/bills,Columbia Power Coop Assn Inc
utlities/bills,Calhoun County Elec Coop Assn
utlities/bills,"Columbia Rural Elec Assn, Inc"
utlities/bills,City of Columbia - (MO)
utlities/bills,Co-Mo Electric Coop Inc
utlities/bills,City of Columbus - (OH)
